lat,lon,year
32.728072,-99.2946024,1946
33.0788867,-97.5654422,1946
33.5206824,-86.8024326,1946
33.6901097,-87.8891877,1946
34.0536909,-118.242766,1946
34.0980031,-118.329523,1946
34.1362075,-118.0401497,1946
34.2907874,-98.3750699,1946
34.8936766,-98.3658875,1946
35.996653,-78.9018053,1946
36.5879877,-79.3916713,1946
36.7563166,-90.3944869,1946
36.8289755,-83.7701975,1946
36.9064438,-88.2236421,1946
37.5139929,-87.6650997,1946
37.5413747,-85.2650391,1946
37.7792588,-122.4193286,1946
37.9247678,-90.5510587,1946
39.1014537,-84.5124602,1946
39.4278253,-86.428328,1946
39.6080469,-85.4453688,1946
39.8286897,-84.8898521,1946
39.9448402,-75.1198911,1946
39.9527237,-75.1635262,1946
39.9622601,-83.0007065,1946
40.0758822,-102.223253,1946
40.1142201,-75.13023,1946
40.2253569,-82.6881395,1946
40.3267407,-78.9219698,1946
40.3814581,-79.8597708,1946
40.4059025,-79.9119948,1946
40.4378434,-81.3731675,1946
40.4416941,-79.9900861,1946
40.4848003,-106.831735,1946
40.5035986,-79.9484404,1946
40.5697893,-79.7647705,1946
40.5861322,-98.3898883,1946
40.6526006,-73.9497211,1946
40.7127281,-74.0060152,1946
40.7135078,-73.8283132,1946
40.7139415,-73.830742,1946
40.7157545,-73.5898872,1946
40.7215682,-74.047455,1946
40.735657,-74.1723667,1946
40.7365804,-73.8783932,1946
40.7492678,-73.6406845,1946
40.7596198,-111.886797,1946
40.7706966,-79.5314119,1946
40.7795455,-74.0237512,1946
40.7887609,-76.5585175,1946
40.805378,-74.2037566,1946
40.8125881,-76.1416034,1946
40.826489,-74.1068091,1946
40.8466508,-73.8785937,1946
40.8860164,-74.0072568,1946
41.0349847,-111.9383931,1946
41.0534302,-73.5387341,1946
41.083064,-81.518485,1946
41.2321487,-103.8918864,1946
41.347817,-75.7564267,1946
41.4899827,-71.3137707,1946
41.4996574,-81.6936772,1946
41.5263603,-88.0840212,1946
41.5702561,-87.3365496,1946
41.5917495,-75.4851837,1946
41.6097726,-83.5643782,1946
41.6105983,-86.7225227,1946
41.6107243,-87.0522661,1946
41.8239891,-71.4128343,1946
41.8755616,-87.6244212,1946
42.2625621,-71.8018877,1946
42.2858536,-82.9780695,1946
42.583645,-83.2454883,1946
42.6079647,-113.78335,1946
42.7313756,-87.7834769,1946
42.9760854,-82.4333742,1946
43.9747838,-75.9107565,1946
44.0839937,-93.2261076,1946
44.4308975,-89.6884637,1946
44.9772995,-93.2654692,1946
45.9964655,13.0258433,1946
46.9932847,-93.5985615,1946
47.52326,-92.536571,1946
47.6038321,-122.330062,1946
48.4283182,-123.364953,1946
50.1106444,8.6820917,1946
51.1638175,10.4478313,1946
19.6854458,-155.1003754,1947
34.065846,-117.64843,1947
36.2030064,-119.08816,1947
38.1509077,-84.6838344,1947
38.592563,-85.3177344,1947
38.7014389,-90.1487199,1947
39.100105,-94.5781416,1947
39.7837304,-100.445882,1947
40.7433066,-74.0323752,1947
40.9586956,-75.9960371,1947
41.2230048,-111.9738429,1947
41.3272919,-89.1287636,1947
41.6529143,-83.5378173,1947
42.1167065,-86.4541894,1947
43.1687104,-78.696567,1947
48.5536972,-109.677802,1947
32.753177,-97.3327459,1948
32.7762719,-96.7968559,1948
32.7775015,-91.9126298,1948
33.5756375,-96.0752031,1948
